Date,Subject,RootDirectory,Directory,Tag,StimulusSuite,Weight,Chamber,Rig,Electrode,Lens,oe2dat,StimulusProtocols,SpikeSorting,LfpPhaseCorrection,numChannels,numUnits,ElectrodeManufacturer,ImportFun,Eyetracker,numSingleUnit,GratingSubspace,shank,retx,rety,retc1,retc2,retc4,deadChan
31-Dec-0019,Logan,ForageMapping,Logan_2019-12-31_10-29-07_NeuronexusD19,logan_20191231,MarmoV5,NaN,"V1",Propixx,ShankAn1,1,1,"",Kilo2,1,64,10,NeuroNexus,importFreeViewing,DDPIv1,0,1,7,0.221052791736795,-0.738111479777859,0.0822444045986523,-0.0195862056663936,0.129158332430386,3   7  11  15  19  40  44  48
06-Jan-0020,Logan,ForageMapping,Logan_2020-01-06_10-52-49_neuronexusD22,logan_20200106,MarmoV5,NaN,"V1",Propixx,ShankAn1,1,1,"",Kilo2,1,64,9,NeuroNexus,importFreeViewing,DDPIv1,1,1,7,0.146614328624415,-0.732760138825091,0.140796437804738,0.0276621436913574,0.149031098011735,3   7   9  11  15  19  44  58
07-Jan-0020,Logan,ForageMapping,Logan_2020-01-07_10-32-12_neuronexusD23,logan_20200107,MarmoV5,NaN,"V1",Propixx,ShankAn1,1,1,"",Kilo2,1,64,57,NeuroNexus,importFreeViewing,DDPIv1,13,1,7,0.0862794155262096,-0.637500508500102,0.117308509953988,-0.0037539997723263,0.104857111721012,3   7  11  15  19  40  44  48
09-Jan-0020,Logan,ForageMapping,Logan_2020-01-09_12-30-27_neuronexusD24,logan_20200109,MarmoV5,NaN,"V1",Propixx,ShankAn1,1,1,"",Kilo2,1,64,9,NeuroNexus,importFreeViewing,DDPIv1,2,1,7,0.220758279407582,-0.692079386326898,0.129052473879363,-0.0123488931046994,0.1521507927467,3   7  11  15  19  36  40  44  48
10-Jan-0020,Logan,ForageMapping,Logan_2020-01-10_10-46-08_neuronexusD25,logan_20200110,MarmoV5,NaN,"V1",Propixx,ShankAn1,1,1,"",Kilo2,1,64,9,NeuroNexus,importFreeViewing,DDPIv1,2,1,7,0.220758279407582,-0.692079386326898,0.129052473879363,-0.0123488931046994,0.1521507927467,None
15-Jan-0020,Logan,ForageMapping,Logan_2020-01-15_10-29-07_NeuronexusD20,logan_20200115,MarmoV5,NaN,"V1",Propixx,ShankAn1,1,1,"",Kilo2,1,64,16,NeuroNexus,importFreeViewing,DDPIv1,2,1,7,0.181556185470743,-0.731673240709965,0.116582231377512,-0.00987683274082843,0.138354616989631,3   7  11  15  19  40  44  48
26-Feb-0020,Logan,ForageMapping,Logan_2020-02-26_10-48-35_Neuronexus_D3,logan_20200226,MarmoV5,NaN,"V1",Propixx,ShankAn2,1,1,"",Kilo2,1,64,4,NeuroNexus,importFreeViewing,DDPIv1,2,1,8,0.32473263527263,-0.808784277134786,0.106117062685967,-0.0107179163794904,0.101147383736739,10  14  16  41  45  47  51  53
28-Feb-0020,Logan,ForageMapping,Logan_2020-02-28_12-17-02_neuronexus_D4,logan_20200228,MarmoV5,NaN,"V1",Propixx,ShankAn2,1,1,"",Kilo2,1,64,16,NeuroNexus,importFreeViewing,DDPIv1,3,1,8,0.43327513080686,-0.913624510222751,0.106117062685967,-0.0240743498153602,0.139577445956872,3   7  11  15  19  39  44
29-Feb-0020,Logan,ForageMapping,Logan_2020-02-29_09-53-57_neuronexus_D5,logan_20200229,MarmoV5,NaN,"V1",Propixx,ShankAn2,1,1,"",Kilo2,0,64,22,NeuroNexus,importFreeViewing,DDPIv1,6,1,8,0.32473263527263,-0.808784277134786,0.106117062685967,-0.0107179163794904,0.101147383736739,14  16  41  45  47  51  53
02-Mar-0020,Logan,ForageMapping,Logan_2020-03-02_11-35-21_neuronexus_D6,logan_20200302,MarmoV5,NaN,"V1",Propixx,ShankAn2,1,1,"",Kilo2,1,64,18,NeuroNexus,importFreeViewing,DDPIv1,3,1,8,0.32473263527263,-0.808784277134786,0.106117062685967,-0.0107179163794904,0.101147383736739,None
03-Mar-0020,Logan,ForageMapping,Logan_2020-03-03_11-43-26_neuronexus_D7,logan_20200303,MarmoV5,NaN,"V1",Propixx,ShankAn2,1,1,"",Kilo2,NaN,64,31,NeuroNexus,importFreeViewing,DDPIv1,8,1,8,0.280925873882726,-0.614369216299525,0.087027514412464,-0.00192329931294512,0.0783353499779382,None
04-Mar-0020,Logan,ForageMapping,Logan_2020-03-04_09-51-54_neuronexus_D8,logan_20200304,MarmoV5,NaN,"V1",Propixx,ShankAn2,1,1,"",Kilo2,1,64,19,NeuroNexus,importFreeViewing,DDPIv1,4,1,8,0.32473263527263,-0.808784277134786,0.106605190934774,-0.0107179163794904,0.101147383736739,None
06-Mar-0020,Logan,ForageMapping,Logan_2020-03-06_11-21-37_neuronexus_D9,logan_20200306,MarmoV5,NaN,"V1",Propixx,ShankAn2,1,1,"",Kilo2,1,64,24,NeuroNexus,importFreeViewing,DDPIv1,9,1,8,0.32473263527263,-0.808784277134786,0.106117062685967,-0.0107179163794904,0.101147383736739,None
02-Oct-0019,m1898,MonashShare/IN,m1898_2019-10-02,m1898_20191002,Neurostim,NaN,"V1",Vpixx,ModBio1,1,1,"",Kilo2,1,NaN,NaN,ModularBionics,importFreeViewingCnuahs,Arrington,0,0,9,0,0,0,0,0,Error
02-Oct-0019,m1898,MonashShare/IN,m1898_2019-11-01,m1898_20191101,Neurostim,NaN,"V1",Vpixx,ModBio1,1,1,"",Kilo2,1,NaN,NaN,ModularBionics,importFreeViewingCnuahs,Arrington,0,0,9,0,0,0,0,0,Error
9_26_2019,Ellie,PSA,Ellie_2019-09-26_09-52-41_64MTD2,ellie_20190926,NaN,NaN,"MT",NaN,NaN,NaN,NaN,"NaN",Kilo,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9_27_2019,Ellie,PSA,Ellie_2019-09-27_12-24-39_64MTD3,ellie_20190927,NaN,NaN,"MT",NaN,NaN,NaN,NaN,"NaN",Kilo,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
